t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4
0.000000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.500000,0.300000,1.500000,0.785398,0.500000,-0.500000,0.000000,0.239033,-0.820000,-0.820000,0.820000
0.010000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.007854,-0.495000,0.295000,1.500000,0.785359,0.499975,-0.499975,0.000000,0.262821,-0.820000,-0.820000,0.820000
0.020000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.015707,-0.490001,0.290001,1.500000,0.785241,0.499900,-0.499900,0.000000,0.286584,-0.820000,-0.820000,0.820000
0.030000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.023558,-0.485002,0.285002,1.500000,0.785045,0.499775,-0.499775,0.000000,0.310317,-0.820000,-0.820000,0.820000
0.040000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.031408,-0.480005,0.280005,1.500000,0.784770,0.499600,-0.499600,0.000000,0.334020,-0.820000,-0.820000,0.820000
0.050000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.039254,-0.475010,0.275010,1.500000,0.784417,0.499375,-0.499375,0.000000,0.357689,-0.820000,-0.820000,0.820000
0.060000,0.000186,0.880546,0.332217,-1.295338,0.000000,0.000000,-0.000000,0.000000,0.047096,-0.470018,0.270018,1.500000,0.783985,0.499100,-0.499100,0.000000,0.381323,-0.820000,-0.820000,0.820000
0.070000,0.000500,0.872556,0.324491,-1.256480,0.109579,-0.806364,-1.585359,4.800000,0.054933,-0.465029,0.265029,1.500000,0.783475,0.498776,-0.498776,0.000000,0.375790,-0.820000,-0.820000,0.820000
0.080000,0.000500,0.872556,0.324491,-1.256480,0.109579,-0.806364,-1.585359,4.800000,0.062765,-0.460043,0.260043,1.500000,0.782886,0.498401,-0.498401,0.000000,0.399524,-0.820000,-0.820000,0.820000
0.090000,0.000500,0.872556,0.324491,-1.256480,0.109579,-0.806364,-1.585359,4.800000,0.070590,-0.455061,0.255061,1.500000,0.782219,0.497976,-0.497976,0.000000,0.423215,-0.820000,-0.820000,0.820000
0.100000,0.003469,0.867363,0.299956,-1.208480,0.442221,-0.324636,-3.060907,4.800000,0.078409,-0.450083,0.250083,1.500000,0.781474,0.497502,-0.497502,0.000000,0.354479,-0.820000,-0.751943,0.820000
0.110000,0.003469,0.867363,0.299956,-1.208480,0.442221,-0.324636,-3.060907,4.800000,0.086220,-0.445111,0.245111,1.500000,0.780651,0.496978,-0.496978,0.000000,0.378504,-0.820000,-0.751546,0.820000
0.120000,0.003469,0.867363,0.299956,-1.208480,0.442221,-0.324636,-3.060907,4.800000,0.094022,-0.440144,0.240144,1.500000,0.779750,0.496404,-0.496404,0.000000,0.402478,-0.820000,-0.751150,0.820000
0.130000,0.009681,0.865754,0.263874,-1.160480,0.759256,-0.050185,-3.992783,4.800000,0.101814,-0.435183,0.235183,1.500000,0.778771,0.495781,-0.495781,0.000000,0.332519,-0.820000,-0.556620,0.820000
0.140000,0.009681,0.865754,0.263874,-1.160480,0.759256,-0.050185,-3.992783,4.800000,0.109597,-0.430228,0.230228,1.500000,0.777714,0.495108,-0.495108,0.000000,0.356971,-0.820000,-0.556092,0.820000
0.150000,0.009681,0.865754,0.263874,-1.160480,0.759256,-0.050185,-3.992783,4.800000,0.117368,-0.425281,0.225281,1.500000,0.776579,0.494386,-0.494386,0.000000,0.381363,-0.820000,-0.555565,0.820000
0.160000,0.018669,0.865625,0.221829,-1.112480,1.006300,0.010235,-4.352521,4.800000,0.125128,-0.420341,0.220341,1.500000,0.775366,0.493614,-0.493614,0.000000,0.319184,-0.820000,-0.450785,0.820000
0.170000,0.018669,0.865625,0.221829,-1.112480,1.006300,0.010235,-4.352521,4.800000,0.132876,-0.415409,0.215409,1.500000,0.774076,0.492792,-0.492792,0.000000,0.344119,-0.820000,-0.450103,0.820000
0.180000,0.029700,0.864274,0.180910,-1.064480,1.178691,-0.239142,-3.907324,4.800000,0.140609,-0.410485,0.210485,1.500000,0.772709,0.491922,-0.491922,0.000000,0.285015,-0.820000,-0.476493,0.820000
0.190000,0.029700,0.864274,0.180910,-1.064480,1.178691,-0.239142,-3.907324,4.800000,0.148329,-0.405571,0.205571,1.500000,0.771264,0.491002,-0.491002,0.000000,0.310463,-0.820000,-0.475663,0.820000
0.200000,0.029700,0.864274,0.180910,-1.064480,1.178691,-0.239142,-3.907324,4.800000,0.156035,-0.400665,0.200665,1.500000,0.769742,0.490033,-0.490033,0.000000,0.335834,-0.820000,-0.474835,0.820000
0.210000,0.042282,0.860016,0.145696,-1.016480,1.321043,-0.557105,-3.250317,4.800000,0.163724,-0.395770,0.195770,1.500000,0.768144,0.489015,-0.489015,0.000000,0.273005,-0.820000,-0.538759,0.820000
0.220000,0.042282,0.860016,0.145696,-1.016480,1.321043,-0.557105,-3.250317,4.800000,0.171397,-0.390885,0.190885,1.500000,0.766468,0.487949,-0.487949,0.000000,0.298783,-0.820000,-0.537808,0.820000
0.230000,0.056176,0.853472,0.115133,-0.968480,1.443466,-0.723057,-2.919263,4.800000,0.179053,-0.386011,0.186011,1.500000,0.764716,0.486833,-0.486833,0.000000,0.237029,-0.820000,-0.555243,0.820000
0.240000,0.056176,0.853472,0.115133,-0.968480,1.443466,-0.723057,-2.919263,4.800000,0.186691,-0.381149,0.181149,1.500000,0.762887,0.485669,-0.485669,0.000000,0.263126,-0.820000,-0.554190,0.820000
0.250000,0.056176,0.853472,0.115133,-0.968480,1.443466,-0.723057,-2.919263,4.800000,0.194311,-0.376298,0.176298,1.500000,0.760982,0.484456,-0.484456,0.000000,0.289130,-0.820000,-0.553140,0.820000
0.260000,0.071069,0.846168,0.085893,-0.920480,1.525385,-0.737025,-2.923996,4.800000,0.201911,-0.371460,0.171460,1.500000,0.759001,0.483195,-0.483195,0.000000,0.238957,-0.820000,-0.521250,0.820000
0.270000,0.071069,0.846168,0.085893,-0.920480,1.525385,-0.737025,-2.923996,4.800000,0.209490,-0.366634,0.166634,1.500000,0.756944,0.481885,-0.481885,0.000000,0.265230,-0.820000,-0.520107,0.820000
0.280000,0.071069,0.846168,0.085893,-0.920480,1.525385,-0.737025,-2.923996,4.800000,0.217049,-0.361822,0.161822,1.500000,0.754811,0.480528,-0.480528,0.000000,0.291400,-0.820000,-0.518968,0.820000
0.290000,0.086690,0.838845,0.056406,-0.872480,1.591011,-0.730640,-2.962123,4.800000,0.224586,-0.357024,0.157024,1.500000,0.752603,0.479122,-0.479122,0.000000,0.242841,-0.820000,-0.482180,0.820000
0.300000,0.086690,0.838845,0.056406,-0.872480,1.591011,-0.730640,-2.962123,4.800000,0.232101,-0.352240,0.152240,1.500000,0.750320,0.477668,-0.477668,0.000000,0.269250,-0.820000,-0.480949,0.820000
0.310000,0.102834,0.831217,0.027457,-0.824480,1.633155,-0.785926,-2.844793,4.800000,0.239592,-0.347471,0.147471,1.500000,0.747961,0.476167,-0.476167,0.000000,0.222370,-0.820000,-0.468313,0.820000
0.320000,0.102834,0.831217,0.027457,-0.824480,1.633155,-0.785926,-2.844793,4.800000,0.247060,-0.342717,0.142717,1.500000,0.745528,0.474618,-0.474618,0.000000,0.248980,-0.820000,-0.466996,0.820000
0.330000,0.102834,0.831217,0.027457,-0.824480,1.633155,-0.785926,-2.844793,4.800000,0.254503,-0.337978,0.137978,1.500000,0.743020,0.473021,-0.473021,0.000000,0.275472,-0.820000,-0.465685,0.820000
0.340000,0.119404,0.822768,0.000374,-0.776480,1.676292,-0.886018,-2.610941,4.800000,0.261920,-0.333256,0.133256,1.500000,0.740438,0.471377,-0.471377,0.000000,0.223148,-0.820000,-0.471883,0.820000
0.350000,0.119404,0.822768,0.000374,-0.776480,1.676292,-0.886018,-2.610941,4.800000,0.269311,-0.328551,0.128551,1.500000,0.737782,0.469686,-0.469686,0.000000,0.249778,-0.820000,-0.470496,0.820000
0.360000,0.119404,0.822768,0.000374,-0.776480,1.676292,-0.886018,-2.610941,4.800000,0.276676,-0.323863,0.123863,1.500000,0.735052,0.467948,-0.467948,0.000000,0.276280,-0.820000,-0.469116,0.820000
0.370000,0.136424,0.813397,-0.024480,-0.728480,1.722744,-0.972376,-2.395602,4.800000,0.284012,-0.319192,0.119192,1.500000,0.732248,0.466164,-0.466164,0.000000,0.219559,-0.820000,-0.474557,0.820000
