t,q1,q2,q3,q4,x,y,z,phi,x_des,y_des,z_des,phi_des,tau1,tau2,tau3,tau4
0.000000,0.000942,0.884269,0.318933,-1.285697,0.296348,0.000268,0.033737,-0.082495,0.296348,0.000268,0.033737,-0.082495,0.000004,-0.597729,-0.160468,-0.050667
0.010000,0.000942,0.884268,0.318933,-1.285737,0.296347,0.000268,0.033742,-0.082535,0.296348,0.000268,0.033737,-0.082494,0.000180,-0.599810,-0.169487,-0.062661
0.020000,0.000942,0.884268,0.318933,-1.285737,0.296347,0.000268,0.033742,-0.082535,0.296347,0.000268,0.033738,-0.082486,0.000413,-0.600942,-0.169059,-0.062328
0.030000,0.000942,0.884268,0.318933,-1.285737,0.296347,0.000268,0.033742,-0.082535,0.296345,0.000269,0.033739,-0.082466,0.000666,-0.602218,-0.168584,-0.061940
0.040000,0.000942,0.883973,0.319113,-1.285115,0.296348,0.000268,0.033718,-0.082029,0.296340,0.000272,0.033742,-0.082427,0.000980,-0.596250,-0.173900,-0.071132
0.050000,0.000942,0.883973,0.319113,-1.285115,0.296348,0.000268,0.033718,-0.082029,0.296333,0.000275,0.033747,-0.082364,0.001274,-0.597824,-0.173331,-0.070629
0.060000,0.000947,0.883658,0.319306,-1.284971,0.296342,0.000269,0.033756,-0.082007,0.296323,0.000281,0.033754,-0.082271,0.001432,-0.600134,-0.165187,-0.060099
0.070000,0.000947,0.883658,0.319306,-1.284971,0.296342,0.000269,0.033756,-0.082007,0.296309,0.000288,0.033764,-0.082142,0.001767,-0.602015,-0.164521,-0.059476
0.080000,0.000959,0.883516,0.319320,-1.285686,0.296339,0.000273,0.033884,-0.082850,0.296290,0.000298,0.033777,-0.081972,0.001945,-0.606516,-0.155870,-0.048873
0.090000,0.000959,0.883516,0.319320,-1.285686,0.296339,0.000273,0.033884,-0.082850,0.296266,0.000310,0.033793,-0.081756,0.002321,-0.608712,-0.155106,-0.048125
0.100000,0.000959,0.883516,0.319320,-1.285686,0.296339,0.000273,0.033884,-0.082850,0.296236,0.000325,0.033814,-0.081490,0.002717,-0.611068,-0.154292,-0.047314
0.110000,0.000984,0.883238,0.319399,-1.285472,0.296345,0.000280,0.033923,-0.082835,0.296200,0.000344,0.033838,-0.081167,0.002814,-0.610469,-0.162769,-0.058571
0.120000,0.000984,0.883238,0.319399,-1.285472,0.296345,0.000280,0.033923,-0.082835,0.296158,0.000366,0.033868,-0.080785,0.003251,-0.613150,-0.161855,-0.057630
0.130000,0.001027,0.882563,0.319927,-1.284077,0.296333,0.000292,0.033849,-0.081586,0.296108,0.000391,0.033902,-0.080338,0.003226,-0.610128,-0.173292,-0.070938
0.140000,0.001095,0.881747,0.320726,-1.283415,0.296290,0.000311,0.033863,-0.080943,0.296051,0.000421,0.033941,-0.079822,0.003157,-0.611232,-0.165225,-0.060189
0.150000,0.001095,0.881747,0.320726,-1.283415,0.296290,0.000311,0.033863,-0.080943,0.295986,0.000455,0.033986,-0.079233,0.003654,-0.614413,-0.164168,-0.059045
0.160000,0.001095,0.881747,0.320726,-1.283415,0.296290,0.000311,0.033863,-0.080943,0.295912,0.000493,0.034037,-0.078567,0.004171,-0.617760,-0.163061,-0.057833
0.170000,0.001187,0.881060,0.321350,-1.283981,0.296248,0.000337,0.034023,-0.081571,0.295829,0.000536,0.034094,-0.077821,0.004201,-0.621662,-0.148607,-0.041170
0.180000,0.001187,0.881060,0.321350,-1.283981,0.296248,0.000337,0.034023,-0.081571,0.295737,0.000583,0.034157,-0.076991,0.004757,-0.625345,-0.147400,-0.039819
0.190000,0.001302,0.880202,0.321953,-1.283652,0.296224,0.000370,0.034123,-0.081497,0.295635,0.000636,0.034227,-0.076074,0.004767,-0.623781,-0.153243,-0.049295
0.200000,0.001302,0.880202,0.321953,-1.283652,0.296224,0.000370,0.034123,-0.081497,0.295523,0.000694,0.034304,-0.075066,0.005362,-0.627802,-0.151940,-0.047805
0.210000,0.001444,0.878826,0.323028,-1.281683,0.296189,0.000410,0.034083,-0.079829,0.295401,0.000757,0.034388,-0.073964,0.005335,-0.623283,-0.166530,-0.065631
0.220000,0.001444,0.878826,0.323028,-1.281683,0.296189,0.000410,0.034083,-0.079829,0.295268,0.000825,0.034480,-0.072765,0.005967,-0.627648,-0.165136,-0.064000
0.230000,0.001614,0.877183,0.324494,-1.280220,0.296118,0.000459,0.034117,-0.078544,0.295124,0.000900,0.034579,-0.071467,0.005915,-0.627922,-0.158817,-0.055140
0.240000,0.001614,0.877183,0.324494,-1.280220,0.296118,0.000459,0.034117,-0.078544,0.294968,0.000980,0.034686,-0.070067,0.006583,-0.632628,-0.157336,-0.053369
0.250000,0.001820,0.875535,0.325934,-1.280021,0.296037,0.000517,0.034314,-0.078552,0.294801,0.001066,0.034801,-0.068563,0.006381,-0.634562,-0.142074,-0.035571
0.260000,0.001820,0.875535,0.325934,-1.280021,0.296037,0.000517,0.034314,-0.078552,0.294622,0.001158,0.034924,-0.066952,0.007086,-0.639608,-0.140503,-0.033658
0.270000,0.001820,0.875535,0.325934,-1.280021,0.296037,0.000517,0.034314,-0.078552,0.294431,0.001257,0.035055,-0.065232,0.007808,-0.644820,-0.138885,-0.031675
0.280000,0.002065,0.873594,0.327444,-1.279042,0.295969,0.000586,0.034485,-0.078003,0.294228,0.001362,0.035195,-0.063401,0.007584,-0.641721,-0.142578,-0.038750
0.290000,0.002065,0.873594,0.327444,-1.279042,0.295969,0.000586,0.034485,-0.078003,0.294012,0.001473,0.035343,-0.061457,0.008340,-0.647270,-0.140878,-0.036626
0.300000,0.002351,0.871007,0.329483,-1.276293,0.295888,0.000667,0.034527,-0.075803,0.293784,0.001591,0.035500,-0.059398,0.008102,-0.640905,-0.155523,-0.054946
0.310000,0.002351,0.871007,0.329483,-1.276293,0.295888,0.000667,0.034527,-0.075803,0.293542,0.001716,0.035666,-0.057224,0.008892,-0.646794,-0.153752,-0.052684
0.320000,0.002351,0.871007,0.329483,-1.276293,0.295888,0.000667,0.034527,-0.075803,0.293288,0.001847,0.035841,-0.054932,0.009698,-0.652842,-0.151937,-0.050352
0.330000,0.002679,0.868003,0.332005,-1.273789,0.295769,0.000760,0.034635,-0.073781,0.293020,0.001985,0.036026,-0.052520,0.009478,-0.651226,-0.147185,-0.043549
0.340000,0.003056,0.864851,0.334612,-1.272451,0.295636,0.000867,0.034916,-0.072988,0.292739,0.002130,0.036219,-0.049989,0.009138,-0.651426,-0.132120,-0.026022
0.350000,0.003056,0.864851,0.334612,-1.272451,0.295636,0.000867,0.034916,-0.072988,0.292445,0.002282,0.036421,-0.047336,0.009990,-0.657981,-0.130217,-0.023487
0.360000,0.003056,0.864851,0.334612,-1.272451,0.295636,0.000867,0.034916,-0.072988,0.292137,0.002442,0.036633,-0.044561,0.010857,-0.664690,-0.128273,-0.020885
0.370000,0.003482,0.861335,0.337322,-1.270454,0.295511,0.000987,0.035199,-0.071797,0.291815,0.002608,0.036854,-0.041664,0.010400,-0.660226,-0.129850,-0.025303
