t,q1,q2,q3,q4,x,y,z,phi,x_des,y_des,z_des,phi_des,xdot,ydot,zdot,phidot,xdot_des,ydot_des,zdot_des,phidot_des,tau1,tau2,tau3,tau4
0.000000,0.000186,0.880578,0.332101,-1.295254,0.295017,0.000053,0.033751,-0.082575,0.295017,0.000053,0.033751,-0.082575,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.595327,-0.167856,-0.063718
0.010000,0.000186,0.880578,0.332101,-1.295254,0.295017,0.000053,0.033751,-0.082575,0.295017,0.000053,0.033751,-0.082574,0.000000,0.000000,0.000000,-0.000000,-0.000035,0.000019,0.000025,0.000322,0.000212,-0.596317,-0.167478,-0.063439
0.020000,0.000186,0.880578,0.332101,-1.295254,0.295017,0.000053,0.033751,-0.082575,0.295016,0.000053,0.033752,-0.082567,0.000000,0.000000,0.000000,-0.000000,-0.000140,0.000073,0.000097,0.001276,0.000445,-0.597450,-0.167054,-0.063106
0.030000,0.000186,0.880578,0.332101,-1.295254,0.295017,0.000053,0.033751,-0.082575,0.295014,0.000054,0.033753,-0.082546,0.000000,0.000000,0.000000,-0.000000,-0.000311,0.000164,0.000217,0.002842,0.000698,-0.598728,-0.166584,-0.062718
0.040000,0.000186,0.880578,0.332101,-1.295254,0.295017,0.000053,0.033751,-0.082575,0.295009,0.000056,0.033756,-0.082508,0.000000,0.000000,0.000000,-0.000000,-0.000548,0.000288,0.000382,0.005002,0.000972,-0.600154,-0.166067,-0.062273
0.050000,0.000187,0.880561,0.332104,-1.295295,0.295017,0.000053,0.033761,-0.082630,0.295002,0.000060,0.033761,-0.082444,0.000032,0.000056,0.001520,-0.008063,-0.000847,0.000445,0.000590,0.007735,0.001227,-0.600839,-0.164456,-0.060798
0.060000,0.000187,0.880561,0.332104,-1.295295,0.295017,0.000053,0.033761,-0.082630,0.294992,0.000065,0.033768,-0.082351,0.000032,0.000056,0.001520,-0.008063,-0.001207,0.000634,0.000842,0.011025,0.001541,-0.602567,-0.163844,-0.060236
0.070000,0.000194,0.880455,0.332166,-1.295226,0.295015,0.000055,0.033771,-0.082605,0.294978,0.000073,0.033778,-0.082222,-0.000300,0.000306,0.001428,0.004215,-0.001626,0.000855,0.001134,0.014852,0.001696,-0.602449,-0.163931,-0.060859
0.080000,0.000194,0.880455,0.332166,-1.295226,0.295015,0.000055,0.033771,-0.082605,0.294960,0.000083,0.033791,-0.082052,-0.000300,0.000306,0.001428,0.004215,-0.002102,0.001105,0.001465,0.019198,0.002051,-0.604489,-0.163222,-0.060174
0.090000,0.000212,0.880205,0.332357,-1.294955,0.295009,0.000060,0.033776,-0.082392,0.294936,0.000095,0.033807,-0.081837,-0.001008,0.000681,0.000618,0.025173,-0.002632,0.001384,0.001835,0.024045,0.002151,-0.604204,-0.164228,-0.061704
0.100000,0.000212,0.880205,0.332357,-1.294955,0.295009,0.000060,0.033776,-0.082392,0.294907,0.000110,0.033828,-0.081570,-0.001008,0.000681,0.000618,0.025173,-0.003216,0.001690,0.002242,0.029375,0.002547,-0.606563,-0.163421,-0.060892
0.110000,0.000212,0.880205,0.332357,-1.294955,0.295009,0.000060,0.033776,-0.082392,0.294871,0.000129,0.033852,-0.081248,-0.001008,0.000681,0.000618,0.025173,-0.003850,0.002024,0.002684,0.035171,0.002964,-0.609083,-0.162564,-0.060015
0.120000,0.000245,0.879820,0.332684,-1.294625,0.294994,0.000069,0.033788,-0.082122,0.294830,0.000151,0.033882,-0.080865,-0.001775,0.001157,0.001932,0.026701,-0.004534,0.002383,0.003161,0.041415,0.003046,-0.609387,-0.161799,-0.059248
0.130000,0.000245,0.879820,0.332684,-1.294625,0.294994,0.000069,0.033788,-0.082122,0.294781,0.000177,0.033916,-0.080418,-0.001775,0.001157,0.001932,0.026701,-0.005264,0.002767,0.003670,0.048089,0.003502,-0.612235,-0.160845,-0.058239
0.140000,0.000300,0.879280,0.333150,-1.294249,0.294972,0.000085,0.033815,-0.081819,0.294724,0.000206,0.033955,-0.079902,-0.002568,0.001829,0.003615,0.029617,-0.006040,0.003175,0.004211,0.055177,0.003474,-0.611959,-0.159895,-0.057459
0.150000,0.000300,0.879280,0.333150,-1.294249,0.294972,0.000085,0.033815,-0.081819,0.294660,0.000240,0.034000,-0.079313,-0.002568,0.001829,0.003615,0.029617,-0.006860,0.003606,0.004783,0.062662,0.003971,-0.615139,-0.158842,-0.056315
0.160000,0.000300,0.879280,0.333150,-1.294249,0.294972,0.000085,0.033815,-0.081819,0.294587,0.000279,0.034051,-0.078647,-0.002568,0.001829,0.003615,0.029617,-0.007721,0.004058,0.005383,0.070527,0.004487,-0.618487,-0.157739,-0.055103
0.170000,0.000379,0.878541,0.333783,-1.293711,0.294942,0.000107,0.033849,-0.081386,0.294505,0.000322,0.034108,-0.077901,-0.003355,0.002581,0.004184,0.045267,-0.008621,0.004532,0.006011,0.078755,0.004447,-0.617980,-0.157674,-0.055564
0.180000,0.000379,0.878541,0.333783,-1.293711,0.294942,0.000107,0.033849,-0.081386,0.294414,0.000369,0.034171,-0.077071,-0.003355,0.002581,0.004184,0.045267,-0.009560,0.005025,0.006666,0.087330,0.005002,-0.621664,-0.156474,-0.054213
0.190000,0.000486,0.877583,0.334605,-1.292970,0.294903,0.000138,0.033889,-0.080783,0.294314,0.000422,0.034241,-0.076153,-0.004278,0.003386,0.004728,0.062584,-0.010535,0.005538,0.007345,0.096237,0.004946,-0.621079,-0.156566,-0.054795
0.200000,0.000486,0.877583,0.334605,-1.292970,0.294903,0.000138,0.033889,-0.080783,0.294203,0.000480,0.034318,-0.075145,-0.004278,0.003386,0.004728,0.062584,-0.011545,0.006069,0.008049,0.105459,0.005540,-0.625103,-0.155271,-0.053305
0.210000,0.000486,0.877583,0.334605,-1.292970,0.294903,0.000138,0.033889,-0.080783,0.294083,0.000544,0.034402,-0.074043,-0.004278,0.003386,0.004728,0.062584,-0.012587,0.006617,0.008776,0.114980,0.006153,-0.629296,-0.153927,-0.051744
0.220000,0.000626,0.876354,0.335665,-1.291981,0.294853,0.000177,0.033933,-0.079962,0.293952,0.000613,0.034494,-0.072845,-0.005588,0.004388,0.005397,0.085231,-0.013660,0.007181,0.009524,0.124785,0.005994,-0.627972,-0.154418,-0.052753
0.230000,0.000626,0.876354,0.335665,-1.291981,0.294853,0.000177,0.033933,-0.079962,0.293809,0.000687,0.034593,-0.071547,-0.005588,0.004388,0.005397,0.085231,-0.014763,0.007760,0.010293,0.134859,0.006644,-0.632506,-0.152983,-0.051052
0.240000,0.000805,0.874788,0.337024,-1.290697,0.294788,0.000228,0.033984,-0.078885,0.293656,0.000768,0.034700,-0.070147,-0.007196,0.005600,0.006492,0.111029,-0.015893,0.008355,0.011081,0.145186,0.006351,-0.630118,-0.153655,-0.052336
0.250000,0.000805,0.874788,0.337024,-1.290697,0.294788,0.000228,0.033984,-0.078885,0.293492,0.000854,0.034815,-0.068642,-0.007196,0.005600,0.006492,0.111029,-0.017050,0.008963,0.011888,0.155752,0.007037,-0.634994,-0.152132,-0.050493
0.260000,0.000805,0.874788,0.337024,-1.290697,0.294788,0.000228,0.033984,-0.078885,0.293315,0.000947,0.034938,-0.067031,-0.007196,0.005600,0.006492,0.111029,-0.018231,0.009584,0.012711,0.166542,0.007741,-0.640036,-0.150561,-0.048579
0.270000,0.001028,0.872892,0.338661,-1.289290,0.294709,0.000291,0.034067,-0.077737,0.293127,0.001046,0.035069,-0.065311,-0.008475,0.006832,0.010161,0.112326,-0.019435,0.010217,0.013551,0.177540,0.007463,-0.638213,-0.148792,-0.047010
0.280000,0.001028,0.872892,0.338661,-1.289290,0.294709,0.000291,0.034067,-0.077737,0.292926,0.001151,0.035209,-0.063479,-0.008475,0.006832,0.010161,0.112326,-0.020661,0.010861,0.014405,0.188734,0.008202,-0.643594,-0.147139,-0.044955
0.290000,0.001298,0.870626,0.340581,-1.287631,0.294616,0.000367,0.034174,-0.076423,0.292714,0.001263,0.035357,-0.061535,-0.009829,0.008239,0.012589,0.132241,-0.021906,0.011515,0.015273,0.200109,0.007804,-0.640461,-0.146705,-0.045307
0.300000,0.001298,0.870626,0.340581,-1.287631,0.294616,0.000367,0.034174,-0.076423,0.292488,0.001382,0.035514,-0.059477,-0.009829,0.008239,0.012589,0.132241,-0.023169,0.012179,0.016154,0.211650,0.008577,-0.646180,-0.144974,-0.043113
0.310000,0.001617,0.867949,0.342817,-1.285622,0.294510,0.000457,0.034299,-0.074856,0.292250,0.001507,0.035680,-0.057302,-0.011255,0.009638,0.014283,0.159119,-0.024449,0.012852,0.017047,0.223344,0.008188,-0.642943,-0.145242,-0.044221
0.320000,0.001617,0.867949,0.342817,-1.285622,0.294510,0.000457,0.034299,-0.074856,0.291999,0.001639,0.035855,-0.055009,-0.011255,0.009638,0.014283,0.159119,-0.025745,0.013533,0.017950,0.235178,0.008993,-0.648999,-0.143441,-0.041889
0.330000,0.001986,0.864887,0.345345,-1.283394,0.294390,0.000561,0.034456,-0.073161,0.291735,0.001778,0.036039,-0.052598,-0.012617,0.011008,0.017730,0.168025,-0.027054,0.014221,0.018863,0.247137,0.008628,-0.646283,-0.142186,-0.040970
0.340000,0.001986,0.864887,0.345345,-1.283394,0.294390,0.000561,0.034456,-0.073161,0.291458,0.001923,0.036232,-0.050066,-0.012617,0.011008,0.017730,0.168025,-0.028376,0.014916,0.019784,0.259210,0.009465,-0.652674,-0.140320,-0.038501
0.350000,0.001986,0.864887,0.345345,-1.283394,0.294390,0.000561,0.034456,-0.073161,0.291168,0.002076,0.036435,-0.047413,-0.012617,0.011008,0.017730,0.168025,-0.029708,0.015617,0.020714,0.271382,0.010317,-0.659220,-0.138412,-0.035964
0.360000,0.002404,0.861469,0.348126,-1.281029,0.294257,0.000679,0.034653,-0.071434,0.290864,0.002236,0.036647,-0.044638,-0.013745,0.012363,0.021940,0.169308,-0.031050,0.016322,0.021649,0.283642,0.009980,-0.656884,-0.136304,-0.034024
0.370000,0.002404,0.861469,0.348126,-1.281029,0.294257,0.000679,0.034653,-0.071434,0.290547,0.002402,0.036868,-0.041740,-0.013745,0.012363,0.021940,0.169308,-0.032400,0.017032,0.022591,0.295976,0.010861,-0.663758,-0.134340,-0.031354
0.380000,0.002875,0.857574,0.351253,-1.278109,0.294110,0.000811,0.034854,-0.069281,0.290216,0.002576,0.037098,-0.038719,-0.015595,0.013940,0.021773,0.222619,-0.033757,0.017745,0.023537,0.308372,0.010360,-0.659041,-0.136899,-0.035101
0.390000,0.002875,0.857574,0.351253,-1.278109,0.294110,0.000811,0.034854,-0.069281,0.289871,0.002757,0.037339,-0.035573,-0.015595,0.013940,0.021773,0.222619,-0.035120,0.018461,0.024487,0.320818,0.011268,-0.666238,-0.134888,-0.032301
0.400000,0.002875,0.857574,0.351253,-1.278109,0.294110,0.000811,0.034854,-0.069281,0.289513,0.002946,0.037588,-0.032302,-0.015595,0.013940,0.021773,0.222619,-0.036486,0.019180,0.025440,0.333302,0.012191,-0.673582,-0.132841,-0.029437
0.410000,0.003402,0.853156,0.354794,-1.274679,0.293943,0.000959,0.035068,-0.066729,0.289142,0.003141,0.037847,-0.028907,-0.017790,0.015516,0.023361,0.259347,-0.037856,0.019900,0.026394,0.345812,0.011698,-0.669259,-0.134404,-0.031389
