t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4
0.000000,0.000373,0.908088,0.605436,-1.607738,-0.000008,0.001810,-0.001085,-0.010166,0.000000,-0.500000,0.300000,1.500000,0.785398,0.500000,-0.500000,0.000000,0.195543,-2.243229,-0.695984,0.609838
0.010000,0.000373,0.908107,0.605425,-1.607845,0.000029,0.001809,-0.001084,-0.010965,0.007854,-0.495000,0.295000,1.500000,0.785359,0.499975,-0.499975,0.000000,0.205229,-2.237775,-0.696215,0.610417
0.020000,0.000373,0.908107,0.605425,-1.607845,0.000029,0.001809,-0.001084,-0.010965,0.015707,-0.490001,0.290001,1.500000,0.785241,0.499900,-0.499900,0.000000,0.214904,-2.232454,-0.696575,0.610842
0.030000,0.001747,0.895586,0.603318,-1.570899,0.243844,-1.747668,-0.559680,5.424262,0.023558,-0.485002,0.285002,1.500000,0.785045,0.499775,-0.499775,0.000000,0.165627,-1.916437,-0.652096,0.276440
0.040000,0.005432,0.880071,0.588828,-1.527177,0.463405,-1.703399,-1.987987,5.669186,0.031408,-0.480005,0.280005,1.500000,0.784770,0.499600,-0.499600,0.000000,0.125485,-1.619561,-0.306736,0.378256
0.050000,0.010795,0.865557,0.563451,-1.489691,0.591525,-1.474765,-2.863032,3.814112,0.039254,-0.475010,0.275010,1.500000,0.784417,0.499375,-0.499375,0.000000,0.104564,-1.273302,0.076147,0.638769
0.060000,0.017022,0.847527,0.538168,-1.445654,0.647274,-2.006583,-2.302434,4.556792,0.047096,-0.470018,0.270018,1.500000,0.783985,0.499100,-0.499100,0.000000,0.092901,-1.213733,0.007962,0.563994
0.070000,0.023643,0.823275,0.524031,-1.401713,0.675403,-2.598129,-0.811035,3.279696,0.054933,-0.465029,0.265029,1.500000,0.783475,0.498776,-0.498776,0.000000,0.079062,-1.079027,-0.078429,0.618797
0.080000,0.030498,0.792949,0.520702,-1.356614,0.694328,-3.358690,-0.004362,5.462705,0.062765,-0.460043,0.260043,1.500000,0.782886,0.498401,-0.498401,0.000000,0.071300,-1.119603,-0.299361,0.386606
0.090000,0.037469,0.759738,0.521699,-1.315544,0.699709,-3.343633,0.182413,3.451888,0.070590,-0.455061,0.255061,1.500000,0.782219,0.497976,-0.497976,0.000000,0.067993,-0.861709,-0.126329,0.579082
0.100000,0.044447,0.725303,0.520517,-1.270806,0.695794,-3.444434,-0.338262,4.617676,0.078409,-0.450083,0.250083,1.500000,0.781474,0.497502,-0.497502,0.000000,0.072969,-0.768312,-0.063222,0.516054
0.110000,0.051358,0.690929,0.517327,-1.225306,0.687692,-3.558727,-0.304733,5.473028,0.086220,-0.445111,0.245111,1.500000,0.780651,0.496978,-0.496978,0.000000,0.075367,-0.761443,-0.113364,0.431858
0.120000,0.058236,0.657609,0.515275,-1.186420,0.688140,-3.173477,-0.117260,2.767020,0.094022,-0.440144,0.240144,1.500000,0.779750,0.496404,-0.496404,0.000000,0.073286,-0.588197,0.037399,0.657195
0.130000,0.065142,0.624185,0.513693,-1.140871,0.692510,-3.326319,-0.172814,4.742364,0.101814,-0.435183,0.235183,1.500000,0.778771,0.495781,-0.495781,0.000000,0.072998,-0.685316,-0.104542,0.464979
0.140000,0.072084,0.592369,0.513676,-1.099270,0.695936,-3.189159,0.108299,4.689984,0.109597,-0.430228,0.230228,1.500000,0.777714,0.495108,-0.495108,0.000000,0.070160,-0.755268,-0.204376,0.420195
