t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4
0.000000,-1.425832,-1.500041,0.836727,1.729413,-0.443388,-0.000008,-0.077317,0.094382,0.000000,-0.500000,0.300000,1.500000,0.785398,0.500000,-0.500000,0.000000,1.236360,1.538914,-0.079390,0.004681
0.010000,-1.430266,-1.500041,0.835947,1.730357,-0.443385,-0.000008,-0.078629,0.094467,0.007854,-0.495000,0.295000,1.500000,0.785359,0.499975,-0.499975,0.000000,1.245460,1.544254,-0.079609,0.004354
0.020000,-1.413277,-1.490225,0.835039,1.736559,3.184192,1.671611,-0.048891,0.615529,0.015707,-0.490001,0.290001,1.500000,0.785241,0.499900,-0.499900,0.000000,0.691509,0.831142,-0.516688,-0.218607
0.030000,-1.368995,-1.466341,0.835182,1.741205,4.770880,2.933471,0.060989,0.342615,0.023558,-0.485002,0.285002,1.500000,0.785045,0.499775,-0.499775,0.000000,0.412957,0.303515,-0.808486,-0.329671
0.040000,-1.321548,-1.433421,0.832469,1.730067,4.619765,3.637935,-0.612331,-1.443396,0.031408,-0.480005,0.280005,1.500000,0.784770,0.499600,-0.499600,0.000000,0.400031,0.298850,-0.593973,-0.139763
0.050000,-1.275783,-1.399929,0.821332,1.706432,4.528033,3.190951,-1.545070,-2.511012,0.039254,-0.475010,0.275010,1.500000,0.784417,0.499375,-0.499375,0.000000,0.388679,0.738867,-0.142672,0.117607
0.060000,-1.231304,-1.369342,0.802722,1.693641,4.390433,2.892286,-2.006356,-1.026311,0.047096,-0.470018,0.270018,1.500000,0.783985,0.499100,-0.499100,0.000000,0.381719,0.783400,-0.116413,0.037092
0.070000,-1.188110,-1.336820,0.783843,1.701172,4.268959,3.418052,-1.662734,1.055941,0.054933,-0.465029,0.265029,1.500000,0.783475,0.498776,-0.498776,0.000000,0.365270,0.258662,-0.566694,-0.282609
0.080000,-1.145973,-1.301039,0.770869,1.705569,4.176392,3.742640,-1.072811,0.301439,0.062765,-0.460043,0.260043,1.500000,0.782886,0.498401,-0.498401,0.000000,0.348945,0.003615,-0.740230,-0.304283
0.090000,-1.105049,-1.268452,0.760866,1.685581,4.035193,3.041564,-1.123732,-2.381906,0.070590,-0.455061,0.255061,1.500000,0.782219,0.497976,-0.497976,0.000000,0.351336,0.491082,-0.301705,0.056621
0.100000,-1.065752,-1.242545,0.746658,1.660581,3.855767,2.263411,-1.651878,-2.470924,0.078409,-0.450083,0.250083,1.500000,0.781474,0.497502,-0.497502,0.000000,0.358901,0.894730,0.017729,0.203824
0.110000,-1.027735,-1.216879,0.728340,1.662086,3.760599,2.632791,-1.746891,0.595782,0.086220,-0.445111,0.245111,1.500000,0.780651,0.496978,-0.496978,0.000000,0.344225,0.454213,-0.372080,-0.154800
0.120000,-0.990158,-1.185643,0.713784,1.678394,3.754039,3.435502,-1.146172,1.765617,0.094022,-0.440144,0.240144,1.500000,0.779750,0.496404,-0.496404,0.000000,0.316327,-0.173428,-0.869302,-0.434000
0.130000,-0.953094,-1.153902,0.705508,1.669856,3.676167,3.149544,-0.813971,-1.298955,0.101814,-0.435183,0.235183,1.500000,0.778771,0.495781,-0.495781,0.000000,0.311283,0.095305,-0.578754,-0.116976
0.140000,-0.917541,-1.129360,0.695349,1.636963,3.475041,2.058795,-1.335226,-3.562835,0.109597,-0.430228,0.230228,1.500000,0.777714,0.495108,-0.495108,0.000000,0.328226,0.830186,0.040968,0.294788
0.150000,-0.883618,-1.108748,0.677861,1.624552,3.333903,1.915356,-1.852057,-0.837746,0.117368,-0.425281,0.225281,1.500000,0.776579,0.494386,-0.494386,0.000000,0.326130,0.738741,-0.066926,0.076230
0.160000,-0.850139,-1.083002,0.660002,1.645729,3.353459,2.888533,-1.455191,2.556929,0.125128,-0.420341,0.220341,1.500000,0.775366,0.493614,-0.493614,0.000000,0.296213,-0.109103,-0.788765,-0.437309
0.170000,-0.816602,-1.053005,0.650723,1.655019,3.353458,3.201561,-0.686935,0.639585,0.132876,-0.415409,0.215409,1.500000,0.774076,0.492792,-0.492792,0.000000,0.279945,-0.299203,-0.881204,-0.353179
0.180000,-0.784136,-1.028264,0.644771,1.624418,3.176479,2.165980,-0.864893,-3.608078,0.140609,-0.410485,0.210485,1.500000,0.772709,0.491922,-0.491922,0.000000,0.297713,0.523740,-0.148353,0.226321
0.190000,-0.753484,-1.010530,0.631154,1.594968,2.991370,1.431377,-1.671271,-2.789192,0.148329,-0.405571,0.205571,1.500000,0.771264,0.491002,-0.491002,0.000000,0.307865,0.923579,0.164272,0.308230
0.200000,-0.723500,-0.990424,0.611434,1.608936,3.001959,2.177514,-1.776924,2.017760,0.156035,-0.400665,0.200665,1.500000,0.769742,0.490033,-0.490033,0.000000,0.281706,0.174410,-0.502679,-0.275453
0.210000,-0.693078,-0.963841,0.598475,1.634438,3.067535,3.004009,-0.879993,2.594685,0.163724,-0.395770,0.195770,1.500000,0.768144,0.489015,-0.489015,0.000000,0.254957,-0.497420,-1.036650,-0.528152
