t,q1,q2,q3,q4,x,y,z,q3_out,x_des,y_des,z_des,q3_des,tau1,tau2,tau3,tau4
0.000000,0.000397,0.909680,0.604501,-1.611235,0.260191,0.000099,0.024557,0.604501,0.260191,0.000099,0.024557,0.604501,-0.000268,-0.516113,-0.081331,-0.064248
0.010000,0.000395,0.909680,0.604502,-1.611250,0.260191,0.000098,0.024559,0.604502,0.260191,0.000099,0.024557,0.604502,0.000047,-0.514561,-0.079983,-0.063218
0.020000,0.000396,0.909601,0.604521,-1.611351,0.260191,0.000098,0.024588,0.604521,0.260190,0.000099,0.024557,0.604505,0.000262,-0.511674,-0.077984,-0.062212
0.030000,0.000395,0.909516,0.604510,-1.611434,0.260196,0.000098,0.024621,0.604510,0.260189,0.000100,0.024559,0.604514,0.000394,-0.511814,-0.078071,-0.062806
0.040000,0.000397,0.909424,0.604517,-1.611451,0.260200,0.000099,0.024645,0.604517,0.260186,0.000101,0.024562,0.604532,0.000491,-0.512719,-0.079128,-0.063908
0.050000,0.000403,0.909348,0.604544,-1.611508,0.260200,0.000100,0.024668,0.604544,0.260182,0.000103,0.024568,0.604561,0.000577,-0.513057,-0.079329,-0.064172
0.060000,0.000414,0.909293,0.604571,-1.611655,0.260198,0.000103,0.024696,0.604571,0.260175,0.000106,0.024576,0.604603,0.000662,-0.513041,-0.078684,-0.063826
0.070000,0.000430,0.909248,0.604592,-1.611831,0.260196,0.000107,0.024727,0.604592,0.260166,0.000111,0.024587,0.604662,0.000749,-0.513270,-0.078382,-0.063922
0.080000,0.000430,0.909248,0.604592,-1.611831,0.260196,0.000107,0.024727,0.604592,0.260155,0.000117,0.024602,0.604740,0.000948,-0.513671,-0.078267,-0.064221
0.090000,0.000452,0.909197,0.604621,-1.611979,0.260193,0.000112,0.024754,0.604621,0.260140,0.000124,0.024621,0.604838,0.001049,-0.514131,-0.078572,-0.064878
0.100000,0.000480,0.909140,0.604671,-1.612131,0.260189,0.000119,0.024780,0.604671,0.260121,0.000133,0.024644,0.604959,0.001154,-0.514350,-0.078699,-0.065336
0.110000,0.000516,0.909080,0.604738,-1.612353,0.260182,0.000128,0.024814,0.604738,0.260099,0.000144,0.024672,0.605106,0.001217,-0.514042,-0.078210,-0.065231
0.120000,0.000562,0.909012,0.604817,-1.612621,0.260173,0.000140,0.024854,0.604817,0.260072,0.000158,0.024705,0.605281,0.001285,-0.513947,-0.077787,-0.065285
0.130000,0.000617,0.908932,0.604912,-1.612890,0.260163,0.000153,0.024896,0.604912,0.260041,0.000173,0.024744,0.605484,0.001366,-0.514205,-0.077818,-0.065760
0.140000,0.000681,0.908841,0.605029,-1.613166,0.260152,0.000169,0.024937,0.605029,0.260005,0.000191,0.024789,0.605720,0.001460,-0.514472,-0.077881,-0.066232
0.150000,0.000753,0.908745,0.605165,-1.613479,0.260137,0.000187,0.024982,0.605165,0.259965,0.000211,0.024840,0.605988,0.001562,-0.514581,-0.077597,-0.066401
0.160000,0.000834,0.908643,0.605315,-1.613836,0.260122,0.000207,0.025032,0.605315,0.259918,0.000234,0.024898,0.606291,0.001670,-0.514693,-0.077191,-0.066507
0.170000,0.000924,0.908532,0.605480,-1.614210,0.260104,0.000229,0.025085,0.605480,0.259867,0.000260,0.024963,0.606631,0.001781,-0.514930,-0.076999,-0.066836
0.180000,0.001023,0.908408,0.605667,-1.614595,0.260085,0.000254,0.025139,0.605667,0.259809,0.000288,0.025035,0.607009,0.001896,-0.515187,-0.076930,-0.067271
0.190000,0.001131,0.908271,0.605878,-1.615007,0.260063,0.000280,0.025197,0.605878,0.259745,0.000320,0.025115,0.607427,0.002013,-0.515344,-0.076701,-0.067565
0.200000,0.001248,0.908122,0.606110,-1.615458,0.260039,0.000310,0.025260,0.606110,0.259676,0.000355,0.025202,0.607887,0.002133,-0.515460,-0.076318,-0.067745
0.210000,0.001375,0.907960,0.606361,-1.615937,0.260013,0.000341,0.025327,0.606361,0.259599,0.000393,0.025298,0.608389,0.002254,-0.515646,-0.076000,-0.068012
0.220000,0.001512,0.907782,0.606637,-1.616434,0.259986,0.000375,0.025396,0.606637,0.259516,0.000434,0.025402,0.608935,0.002377,-0.515885,-0.075801,-0.068393
0.230000,0.001660,0.907588,0.606940,-1.616954,0.259955,0.000412,0.025470,0.606940,0.259426,0.000479,0.025515,0.609527,0.002502,-0.516088,-0.075564,-0.068740
0.240000,0.001817,0.907377,0.607269,-1.617508,0.259922,0.000451,0.025548,0.607269,0.259329,0.000527,0.025637,0.610164,0.002628,-0.516243,-0.075206,-0.068994
0.250000,0.001986,0.907150,0.607623,-1.618095,0.259887,0.000492,0.025631,0.607623,0.259225,0.000579,0.025768,0.610850,0.002756,-0.516416,-0.074831,-0.069254
0.260000,0.001986,0.907150,0.607623,-1.618095,0.259887,0.000492,0.025631,0.607623,0.259113,0.000634,0.025908,0.611584,0.003151,-0.517857,-0.074376,-0.069480
0.270000,0.002165,0.906904,0.608004,-1.618705,0.259849,0.000537,0.025718,0.608004,0.258994,0.000693,0.026057,0.612368,0.003290,-0.518135,-0.074051,-0.069808
0.280000,0.002356,0.906638,0.608414,-1.619340,0.259809,0.000584,0.025809,0.608414,0.258867,0.000756,0.026216,0.613202,0.003431,-0.518409,-0.073741,-0.070153
0.290000,0.002559,0.906338,0.608865,-1.619983,0.259766,0.000634,0.025905,0.608865,0.258732,0.000823,0.026385,0.614088,0.003516,-0.518269,-0.073535,-0.070659
0.300000,0.002778,0.905999,0.609364,-1.620679,0.259718,0.000688,0.026010,0.609364,0.258589,0.000894,0.026564,0.615026,0.003578,-0.517806,-0.073107,-0.070890
0.310000,0.003014,0.905627,0.609907,-1.621429,0.259667,0.000746,0.026124,0.609907,0.258438,0.000969,0.026753,0.616017,0.003657,-0.517591,-0.072549,-0.071048
0.320000,0.003264,0.905227,0.610484,-1.622212,0.259612,0.000808,0.026245,0.610484,0.258279,0.001048,0.026953,0.617062,0.003759,-0.517747,-0.072141,-0.071355
0.330000,0.003527,0.904805,0.611094,-1.623016,0.259555,0.000873,0.026370,0.611094,0.258112,0.001131,0.027162,0.618161,0.003878,-0.518068,-0.071884,-0.071787
0.340000,0.003804,0.904361,0.611739,-1.623847,0.259495,0.000941,0.026498,0.611739,0.257936,0.001219,0.027382,0.619314,0.004006,-0.518333,-0.071565,-0.072161
0.350000,0.004094,0.903897,0.612418,-1.624716,0.259431,0.001013,0.026633,0.612418,0.257752,0.001310,0.027613,0.620523,0.004139,-0.518505,-0.071100,-0.072425
0.360000,0.004396,0.903408,0.613130,-1.625619,0.259364,0.001087,0.026773,0.613130,0.257560,0.001406,0.027854,0.621788,0.004276,-0.518664,-0.070617,-0.072699
0.370000,0.004711,0.902894,0.613876,-1.626548,0.259295,0.001165,0.026918,0.613876,0.257359,0.001505,0.028106,0.623108,0.004415,-0.518843,-0.070212,-0.073055
0.380000,0.005039,0.902351,0.614659,-1.627502,0.259222,0.001246,0.027068,0.614659,0.257150,0.001609,0.028369,0.624485,0.004554,-0.519005,-0.069818,-0.073420
0.390000,0.005380,0.901782,0.615480,-1.628488,0.259146,0.001330,0.027224,0.615480,0.256931,0.001718,0.028642,0.625918,0.004694,-0.519126,-0.069351,-0.073723
0.400000,0.005735,0.901184,0.616337,-1.629509,0.259066,0.001417,0.027387,0.616337,0.256705,0.001831,0.028926,0.627409,0.004834,-0.519241,-0.068847,-0.074003
0.410000,0.006102,0.900558,0.617232,-1.630559,0.258983,0.001507,0.027555,0.617232,0.256469,0.001948,0.029221,0.628956,0.004975,-0.519380,-0.068379,-0.074324
0.420000,0.006483,0.899902,0.618165,-1.631637,0.258897,0.001601,0.027729,0.618165,0.256225,0.002069,0.029527,0.630560,0.005116,-0.519522,-0.067940,-0.074673
0.430000,0.006877,0.899217,0.619138,-1.632744,0.258807,0.001697,0.027909,0.619138,0.255972,0.002194,0.029844,0.632221,0.005257,-0.519639,-0.067468,-0.074994
0.440000,0.007284,0.898501,0.620149,-1.633883,0.258714,0.001797,0.028095,0.620149,0.255711,0.002324,0.030172,0.633940,0.005398,-0.519736,-0.066955,-0.075285
0.450000,0.007705,0.897756,0.621200,-1.635054,0.258618,0.001900,0.028287,0.621200,0.255440,0.002459,0.030511,0.635715,0.005539,-0.519838,-0.066447,-0.075587
0.460000,0.008140,0.896978,0.622291,-1.636253,0.258518,0.002007,0.028485,0.622291,0.255162,0.002597,0.030860,0.637548,0.005680,-0.519943,-0.065963,-0.075912
