t,q1,q2,q3,q4,x,y,z,phi,x_des,y_des,z_des,phi_des,xdot,ydot,zdot,phidot,xdot_des,ydot_des,zdot_des,phidot_des,tau1,tau2,tau3,tau4
0.000000,-0.000702,0.906929,0.241544,-1.230908,0.304000,-0.000205,0.033736,-0.082435,0.304000,-0.000205,0.033736,-0.082435,-0.000055,0.000056,0.000851,-0.007142,-0.000000,0.000000,0.000000,0.000000,-0.000040,-0.619317,-0.184832,-0.062930
0.010000,-0.000702,0.906930,0.241543,-1.230869,0.304000,-0.000205,0.033731,-0.082395,0.304000,-0.000205,0.033737,-0.082434,-0.001216,-0.000016,0.014686,-0.117522,-0.000039,0.000019,0.000025,0.000322,0.000234,-0.618984,-0.174989,-0.050385
0.020000,-0.000705,0.906795,0.241578,-1.231002,0.304001,-0.000206,0.033781,-0.082628,0.303999,-0.000205,0.033737,-0.082427,0.000441,-0.000144,0.003826,-0.013829,-0.000153,0.000074,0.000097,0.001276,0.000563,-0.617919,-0.181847,-0.061289
0.030000,-0.000705,0.906450,0.241789,-1.230002,0.304005,-0.000206,0.033719,-0.081762,0.303997,-0.000203,0.033739,-0.082407,-0.000426,0.000022,-0.007545,0.102243,-0.000341,0.000164,0.000217,0.002842,0.000697,-0.615895,-0.191842,-0.074016
0.040000,-0.000701,0.906152,0.242059,-1.229794,0.303992,-0.000205,0.033733,-0.081583,0.303992,-0.000201,0.033742,-0.082368,-0.001231,0.000184,0.002469,0.006958,-0.000599,0.000289,0.000382,0.005001,0.000864,-0.618686,-0.183808,-0.063229
0.050000,-0.000691,0.906111,0.242057,-1.230746,0.303984,-0.000202,0.033864,-0.082577,0.303984,-0.000197,0.033746,-0.082305,0.000257,0.000355,0.014626,-0.116815,-0.000927,0.000447,0.000591,0.007734,0.001045,-0.623357,-0.171672,-0.048694
0.060000,-0.000676,0.906027,0.241973,-1.230895,0.303995,-0.000197,0.033922,-0.082894,0.303973,-0.000192,0.033754,-0.082211,0.000973,0.000545,0.004702,-0.020483,-0.001321,0.000638,0.000842,0.011023,0.001218,-0.623088,-0.178324,-0.058479
0.070000,-0.000653,0.905615,0.242241,-1.229713,0.303997,-0.000191,0.033847,-0.081857,0.303958,-0.000185,0.033763,-0.082083,-0.001130,0.000759,-0.009030,0.124019,-0.001780,0.000859,0.001134,0.014850,0.001385,-0.620555,-0.191287,-0.074100
0.080000,-0.000622,0.905138,0.242725,-1.229217,0.303973,-0.000182,0.033839,-0.081354,0.303937,-0.000175,0.033776,-0.081913,-0.002738,0.001006,0.000414,0.041182,-0.002300,0.001110,0.001466,0.019195,0.001557,-0.622638,-0.184474,-0.064543
0.090000,-0.000582,0.904902,0.242964,-1.230121,0.303949,-0.000170,0.033979,-0.082254,0.303912,-0.000162,0.033793,-0.081697,-0.001217,0.001266,0.016079,-0.111696,-0.002881,0.001391,0.001836,0.024041,0.001741,-0.627512,-0.169452,-0.046593
