t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,dq1_filt,dq2_filt,dq3_filt,dq4_filt,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_meas1,curr_meas2,curr_meas3,curr_meas4
0.010097,0.079767,0.872835,0.579845,-1.678175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079767,0.872835,0.579844,-1.678174,0.000103,-0.000083,-0.000103,0.000277,0.000254,-0.651494,-0.175724,-0.131639,0,-164,-61,-39,0,0,0,0
0.020088,0.078233,0.871301,0.579845,-1.678175,0.000000,0.000000,0.000000,0.000000,-0.012272,-0.012272,0.000000,0.000000,0.079770,0.872833,0.579842,-1.678168,0.000404,-0.000328,-0.000403,0.001090,0.011033,-0.640335,-0.171809,-0.129101,2,-162,-61,-39,0,-157,-56,-36
0.030101,0.076699,0.860563,0.578311,-1.681243,0.000000,-0.047962,0.000000,0.000000,-0.030925,-0.104556,-0.012272,-0.024544,0.079776,0.872828,0.579836,-1.678150,0.000899,-0.000732,-0.000899,0.002431,0.023927,-0.537915,-0.131896,-0.103438,5,-139,-52,-33,1,-160,-62,-37
0.040106,0.076699,0.842155,0.575243,-1.684311,-0.023981,-0.191847,0.000000,-0.023981,-0.039643,-0.298824,-0.043197,-0.061850,0.079788,0.872818,0.579823,-1.678117,0.001584,-0.001292,-0.001584,0.004286,0.027239,-0.356012,-0.058013,-0.060520,5,-98,-35,-23,5,-142,-51,-31
0.050083,0.076699,0.829884,0.570641,-1.687379,-0.023981,-0.383693,-0.047962,-0.047962,-0.041702,-0.489654,-0.095112,-0.103830,0.079808,0.872801,0.579803,-1.678063,0.002451,-0.002002,-0.002451,0.006639,0.028605,-0.195308,0.013923,-0.023016,6,-62,-19,-14,3,-103,-39,-25
0.060084,0.076699,0.829884,0.569107,-1.688913,-0.023981,-0.527578,-0.095923,-0.095923,-0.039602,-0.564980,-0.130924,-0.132983,0.079838,0.872777,0.579774,-1.677983,0.003500,-0.002865,-0.003502,0.009490,0.028645,-0.150331,0.037031,-0.011854,6,-52,-15,-12,5,-62,-19,-14
0.070085,0.081301,0.832952,0.569107,-1.690447,-0.023981,-0.575540,-0.119904,-0.119904,0.001642,-0.540433,-0.141937,-0.152108,0.079879,0.872744,0.579733,-1.677872,0.004724,-0.003874,-0.004729,0.012824,-0.003819,-0.163188,0.032300,-0.012732,-1,-55,-16,-12,5,-51,-19,-11
0.080113,0.084369,0.836020,0.562971,-1.690447,0.000000,-0.575540,-0.143885,-0.143885,0.050801,-0.457927,-0.186277,-0.151414,0.079933,0.872699,0.579678,-1.677724,0.006124,-0.005032,-0.006132,0.016642,-0.031906,-0.180544,0.039415,-0.017446,-7,-59,-15,-12,3,-50,-15,-11
0.090111,0.085903,0.834486,0.558369,-1.695049,0.023981,-0.551559,-0.215827,-0.191847,0.088504,-0.384060,-0.234795,-0.175701,0.080002,0.872642,0.579609,-1.677537,0.007687,-0.006329,-0.007700,0.020912,-0.049618,-0.156361,0.056890,-0.008362,-11,-54,-11,-10,-5,-55,-14,-12
0.100101,0.085903,0.829884,0.553767,-1.696583,0.071942,-0.479616,-0.263789,-0.191847,0.104046,-0.345831,-0.281937,-0.188488,0.080087,0.872572,0.579524,-1.677305,0.009410,-0.007763,-0.009430,0.025628,-0.053550,-0.118368,0.080691,0.000828,-11,-45,-6,-7,-11,-53,-7,-10
