t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,mL_hat,b1_hat,b2_hat,b3_hat,b4_hat
0.000000,0.000173,-0.691874,1.388518,0.094392,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.450000,0.350000,0.785398,0.785398,0.500000,-0.500000,0.250000,-0.784532,-1.709370,10.885179,-17.525149,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000173,-0.691874,1.388518,0.094392,0.000000,-0.000000,0.000000,0.000000,0.007854,-0.445000,0.345000,0.787898,0.785359,0.499975,-0.499975,0.249988,-0.823762,-1.734344,10.935153,-17.587635,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.031329,0.003077,0.014610,0.592436,1.000000
0.020000,0.000173,-0.691874,1.388518,0.094392,0.000000,-0.000000,0.000000,0.000000,0.015707,-0.440001,0.340001,0.790398,0.785241,0.499900,-0.499900,0.249950,-0.862909,-1.759266,10.985072,-17.650091,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.062758,0.006470,0.029649,1.000000,1.000000
0.030000,0.000173,-0.691874,1.388518,0.094392,0.000000,-0.000000,0.000000,0.000000,0.023558,-0.435002,0.335002,0.792897,0.785045,0.499775,-0.499775,0.249888,-0.901971,-1.784133,11.034932,-17.712508,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.094285,0.010193,0.045125,1.000000,1.000000
0.040000,0.022329,-0.673174,1.353716,0.140329,3.797552,3.641184,-4.800000,4.800000,0.031408,-0.430005,0.330005,0.795395,0.784770,0.499600,-0.499600,0.249800,2.967390,1.925743,5.936710,-11.826453,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,0.125910,0.014261,0.061040,1.000000,1.000000
0.050000,0.068940,-0.636787,1.305716,0.188329,4.800000,3.631996,-4.800000,4.800000,0.039254,-0.425010,0.325010,0.797893,0.784417,0.499375,-0.499375,0.249688,4.164015,2.073740,5.506434,-10.688777,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,0.227287,0.001944,0.044523,1.000000,1.000000
0.060000,0.068940,-0.636787,1.305716,0.188329,4.800000,3.631996,-4.800000,4.800000,0.047096,-0.420018,0.320018,0.800389,0.783985,0.499100,-0.499100,0.249550,4.125236,2.049052,5.556084,-10.751044,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,0.361871,0.000000,0.028366,1.000000,1.000000
0.070000,0.085384,-0.615482,1.257716,0.236329,-0.645505,0.954242,-4.800000,4.800000,0.054933,-0.415029,0.315029,0.802884,0.783475,0.498776,-0.498776,0.249388,-1.276722,-0.546799,5.125653,-9.613250,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.496371,0.000000,0.012148,1.000000,1.000000
0.080000,0.055420,-0.619276,1.209716,0.284329,-4.755052,-1.433640,-4.800000,4.800000,0.062765,-0.410043,0.310043,0.805377,0.782886,0.498401,-0.498401,0.249200,-5.574663,-2.978207,4.695138,-8.475386,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.506477,0.004029,0.016252,1.000000,1.000000
0.090000,0.055420,-0.619276,1.209716,0.284329,-4.755052,-1.433640,-4.800000,4.800000,0.070590,-0.405061,0.305061,0.807868,0.782219,0.497976,-0.497976,0.248988,-5.613124,-3.002692,4.744532,-8.537448,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,0.486881,0.026875,0.039252,1.000000,1.000000
