t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,b1_hat,b2_hat,b3_hat,b4_hat
0.000000,0.000118,0.700347,1.357478,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.300000,0.300000,0.800000,0.660000,0.690000,0.690000,0.845000,-0.659408,4.311733,9.884781,-65.845000,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000
0.010000,0.000118,0.700347,1.357478,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.006600,-0.293100,0.306900,0.808450,0.659960,0.689932,0.689948,0.844892,-0.692367,4.277302,9.815834,-66.056133,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.001735,0.998764,0.968413,0.045396,0.200000,0.200000,0.200000
0.020000,0.000118,0.700347,1.357478,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.013199,-0.286202,0.313799,0.816897,0.659839,0.689729,0.689792,0.844567,-0.725242,4.243014,9.747003,-66.266995,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.003456,0.997537,0.936686,0.054984,0.200000,0.200000,0.200000
0.030000,0.012272,0.670969,1.349975,-1.755173,2.289303,-3.499199,-1.632444,4.800000,0.019796,-0.279306,0.320695,0.825340,0.659638,0.689390,0.689532,0.844026,1.592043,0.562789,7.970825,-60.556847,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000001,1.005165,0.996317,0.904818,0.065503,0.200000,0.200000,0.200000
0.040000,0.047104,0.633093,1.322112,-1.707173,4.386887,-3.975447,-3.730522,4.800000,0.026391,-0.272414,0.327589,0.833777,0.659356,0.688915,0.689168,0.843269,3.831095,-0.136824,5.525542,-59.567006,-1.200000,-0.730662,-1.200000,1.200000,1,0,1,1,1.000002,1.005427,0.993593,0.821841,0.043302,0.200000,0.200000,0.200000
0.050000,0.074923,0.591496,1.276365,-1.659173,1.553655,-4.396923,-4.800000,4.800000,0.032983,-0.265528,0.334478,0.842205,0.658995,0.688305,0.688700,0.842295,1.104359,-0.800106,3.930163,-58.576733,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000007,1.005880,0.990763,0.734110,0.000716,0.189496,0.200000,0.200000
0.060000,0.074923,0.591496,1.276365,-1.659173,1.553655,-4.396923,-4.800000,4.800000,0.039571,-0.258649,0.341363,0.850622,0.658553,0.687560,0.688129,0.841106,1.071862,-0.833758,3.861892,-58.785974,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000008,1.005767,0.988365,0.644587,0.000000,0.131939,0.200000,0.200000
0.070000,0.077612,0.548125,1.228365,-1.611173,-0.701779,-4.282691,-4.800000,4.800000,0.046154,-0.251778,0.348241,0.859026,0.658030,0.686680,0.687453,0.839702,-1.202521,-0.969860,3.313787,-57.794675,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000008,1.005647,0.985984,0.554895,0.000000,0.072523,0.200000,0.200000
0.080000,0.060469,0.520294,1.180365,-1.563173,-2.480115,-1.603385,-4.800000,4.800000,0.052731,-0.244916,0.355111,0.867415,0.657428,0.685665,0.686675,0.838083,-3.098855,1.536999,2.765859,-56.802783,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000009,1.005499,0.983963,0.500000,0.012043,0.008263,0.200000,0.200000
0.090000,0.047420,0.517605,1.132365,-1.515173,-0.411123,0.781173,-4.800000,4.800000,0.059302,-0.238065,0.361974,0.875787,0.656746,0.684515,0.685792,0.836249,-1.127279,3.875006,2.218117,-55.810245,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000013,1.006077,0.983884,0.500000,0.050391,0.104798,0.200000,0.200000
0.100000,0.052765,0.521790,1.084365,-1.467173,1.255028,0.138645,-4.800000,4.800000,0.065866,-0.231226,0.368827,0.884140,0.655984,0.683232,0.684807,0.834200,0.533539,3.220490,1.670572,-54.817007,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000013,1.007427,0.985570,0.500000,0.066537,0.200000,0.200000,0.200000
0.110000,0.072970,0.520136,1.036365,-1.419173,2.604686,-0.399815,-4.800000,4.800000,0.072422,-0.224400,0.375669,0.892471,0.655142,0.681815,0.683718,0.831939,1.952288,2.641051,1.123234,-53.823017,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000013,1.008487,0.987062,0.500000,0.058838,0.200000,0.200000,0.200000
0.120000,0.089397,0.513593,0.988365,-1.371173,0.904495,-0.849681,-4.800000,4.800000,0.078969,-0.217590,0.382501,0.900778,0.654220,0.680265,0.682526,0.829464,0.302414,2.125972,0.576112,-52.828223,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000015,1.009401,0.988352,0.500000,0.033365,0.200000,0.200000,0.200000
0.130000,0.089397,0.513593,0.988365,-1.371173,0.904495,-0.849681,-4.800000,4.800000,0.085506,-0.210796,0.389320,0.909059,0.653220,0.678581,0.681231,0.826777,0.270729,2.093683,0.509218,-53.032570,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000015,1.010012,0.989559,0.500000,0.029723,0.200000,0.200000,0.200000
0.140000,0.090492,0.502991,0.940365,-1.323173,-0.501450,-1.221978,-4.800000,4.800000,0.092033,-0.204019,0.396125,0.917313,0.652140,0.676766,0.679834,0.823879,-1.161296,1.636303,-0.037439,-52.036009,1.200000,-1.200000,-0.613834,1.200000,1,1,0,1,1.000015,1.010613,0.990760,0.500000,0.026292,0.200000,0.200000,0.200000
0.150000,0.078872,0.489032,0.892365,-1.275173,-1.670598,-1.529163,-4.800000,4.800000,0.098548,-0.197261,0.402916,0.925536,0.650981,0.674819,0.678335,0.820770,-2.419961,1.227482,-0.583848,-51.038485,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000016,1.011062,0.991861,0.500000,0.041617,0.200000,0.196434,0.200000
0.160000,0.069577,0.472318,0.844365,-1.227173,-0.356686,-1.780219,-4.800000,4.800000,0.105052,-0.190523,0.409691,0.933727,0.649744,0.672740,0.676733,0.817451,-1.183807,0.861245,-1.130001,-50.039948,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.011449,0.992893,0.500000,0.077886,0.200000,0.147202,0.200000
0.170000,0.069577,0.472318,0.844365,-1.227173,-0.356686,-1.780219,-4.800000,4.800000,0.111543,-0.183806,0.416450,0.941884,0.648428,0.670531,0.675029,0.813923,-1.214946,0.829872,-1.195887,-50.240347,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.011656,0.993709,0.500000,0.097469,0.200000,0.064260,0.200000
0.180000,0.072302,0.444901,0.813997,-1.179173,0.767938,-3.553322,-1.590009,4.800000,0.118020,-0.177113,0.423192,0.950005,0.647034,0.668192,0.673224,0.810188,-0.107686,-1.111446,1.644821,-49.239629,0.648514,1.200000,-1.200000,1.200000,0,1,1,1,1.000019,1.011856,0.994519,0.500000,0.118323,0.200000,0.000000,0.200000
0.190000,0.085861,0.400431,0.814496,-1.131173,1.839411,-4.800000,1.089727,4.800000,0.124483,-0.170443,0.429914,0.958087,0.645562,0.665723,0.671318,0.806245,1.000737,-2.611355,4.264220,-48.237745,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000019,1.011684,0.993872,0.500000,0.120209,0.145720,0.106414,0.200000
0.200000,0.107252,0.370211,0.805981,-1.083173,2.366080,-1.557044,-2.416343,4.800000,0.130931,-0.163799,0.436618,0.966129,0.644012,0.663126,0.669311,0.802096,1.603671,0.449878,0.607975,-47.234643,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000019,1.011490,0.993144,0.500000,0.103423,0.031413,0.200000,0.200000
0.210000,0.124038,0.371566,0.765087,-1.035173,1.128997,1.191709,-4.800000,4.800000,0.137363,-0.157181,0.443300,0.974129,0.642385,0.660401,0.667203,0.797743,0.419984,3.175042,-2.249332,-46.230274,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000021,1.011623,0.993412,0.500000,0.078970,0.049471,0.200000,0.200000
0.220000,0.124038,0.371566,0.765087,-1.035173,1.128997,1.191709,-4.800000,4.800000,0.143779,-0.150591,0.449961,0.982083,0.640681,0.657549,0.664995,0.793186,0.389611,3.144945,-2.313735,-46.424587,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000021,1.012535,0.995578,0.500000,0.073015,0.175414,0.085254,0.200000
0.230000,0.129187,0.381710,0.717087,-0.987173,0.037183,0.876526,-4.800000,4.800000,0.150177,-0.144030,0.456600,0.989992,0.638900,0.654571,0.662687,0.788427,-0.706667,2.850657,-2.857812,-45.417534,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000021,1.013439,0.997724,0.500000,0.067253,0.200000,0.000000,0.200000
0.240000,0.124199,0.379370,0.687947,-0.939173,-0.924797,-1.152596,-1.366072,4.800000,0.156557,-0.137500,0.463215,0.997851,0.637043,0.651468,0.660279,0.783466,-1.723626,0.780284,0.220974,-44.409064,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000021,1.014237,0.999684,0.500000,0.077767,0.200000,0.000000,0.200000
0.250000,0.124199,0.379370,0.687947,-0.939173,-0.924797,-1.152596,-1.366072,4.800000,0.162917,-0.131001,0.469805,1.005660,0.635110,0.648240,0.657772,0.778306,-1.753497,0.751019,0.157577,-44.599130,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000022,1.014419,1.000242,0.500000,0.105304,0.200000,0.007014,0.200000
0.260000,0.120393,0.356434,0.693049,-0.891173,0.059009,-3.234401,2.031339,4.800000,0.169259,-0.124536,0.476370,1.013417,0.633101,0.644889,0.655166,0.772948,-0.818420,-1.474444,3.542963,-43.587683,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000023,1.014596,1.000779,0.500000,0.134367,0.200000,0.011816,0.200000
0.270000,0.126409,0.325194,0.706993,-0.843173,1.047022,-3.036281,0.882676,4.800000,0.175579,-0.118104,0.482908,1.021119,0.631017,0.641415,0.652462,0.767393,0.170152,-1.461205,2.471066,-42.574675,-0.743138,1.200000,-1.200000,1.200000,0,1,1,1,1.000023,1.014420,1.000962,0.500000,0.148729,0.148101,0.118928,0.200000
0.280000,0.142210,0.312200,0.697270,-0.795173,2.000869,0.128018,-2.481937,4.800000,0.181879,-0.111708,0.489419,1.028764,0.628858,0.637820,0.649661,0.761643,1.173667,1.609735,-1.053082,-41.560058,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000023,1.014263,1.000761,0.500000,0.145745,0.102071,0.197429,0.200000
0.290000,0.142210,0.312200,0.697270,-0.795173,2.000869,0.128018,-2.481937,4.800000,0.188156,-0.105348,0.495901,1.036351,0.626625,0.634104,0.646761,0.755699,1.144513,1.581652,-1.115005,-41.743786,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000024,1.014632,1.001637,0.500000,0.126328,0.149774,0.167335,0.200000
0.300000,0.158182,0.329778,0.656121,-0.747173,1.270267,2.736339,-4.800000,4.800000,0.194411,-0.099026,0.502354,1.043877,0.624318,0.630269,0.643765,0.749563,0.464806,4.250092,-3.906094,-40.725812,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000025,1.014995,1.002490,0.500000,0.106725,0.195757,0.136852,0.200000
0.310000,0.165286,0.345534,0.626520,-0.699173,0.272690,0.623905,-1.443105,4.800000,0.200642,-0.092743,0.508776,1.051342,0.621937,0.626316,0.640672,0.743237,-0.526026,2.188974,-0.906335,-39.706089,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000025,1.016362,1.005208,0.500000,0.099238,0.200000,0.067018,0.200000
0.320000,0.162907,0.340170,0.630579,-0.651173,-0.654398,-1.481796,1.904489,4.800000,0.206849,-0.086500,0.515167,1.058741,0.619483,0.622245,0.637484,0.736722,-1.493592,0.029309,2.421126,-38.684573,1.200000,-1.017746,-1.200000,1.200000,1,0,1,1,1.000025,1.016914,1.006425,0.500000,0.107641,0.200000,0.057288,0.200000
0.330000,0.162907,0.340170,0.630579,-0.651173,-0.654398,-1.481796,1.904489,4.800000,0.213032,-0.080299,0.521525,1.066075,0.616957,0.618059,0.634200,0.730020,-1.521977,0.002488,2.360825,-38.861218,1.200000,-0.879711,-1.200000,1.200000,1,0,1,1,1.000026,1.016930,1.007268,0.500000,0.132709,0.200000,0.082305,0.200000
0.340000,0.161538,0.313931,0.667335,-0.603173,0.294881,-3.553794,5.093722,4.800000,0.219188,-0.074139,0.527851,1.073341,0.614358,0.613758,0.630821,0.723133,-0.607729,-2.227198,5.857745,-37.835979,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000026,1.016941,1.008079,0.500000,0.159118,0.200000,0.103852,0.200000
0.350000,0.170142,0.281715,0.710579,-0.555173,1.336986,-2.960093,3.711509,4.800000,0.225319,-0.068024,0.534141,1.080537,0.611688,0.609344,0.627347,0.716063,0.449416,-1.820742,4.848539,-36.808812,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000026,1.016749,1.009546,0.500000,0.170088,0.140908,0.193361,0.200000
0.360000,0.189506,0.269862,0.729963,-0.507173,2.421677,0.277968,0.497554,4.800000,0.231422,-0.061953,0.540397,1.087662,0.608947,0.604817,0.623780,0.708811,1.603149,1.332223,1.769433,-35.779673,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000026,1.016593,1.010516,0.500000,0.162111,0.099419,0.200000,0.200000
0.370000,0.189506,0.269862,0.729963,-0.507173,2.421677,0.277968,0.497554,4.800000,0.237497,-0.055928,0.546617,1.094713,0.606135,0.600180,0.620120,0.701381,1.575584,1.306735,1.710898,-35.948520,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000028,1.016885,1.011831,0.500000,0.135866,0.127509,0.200000,0.200000
0.380000,0.207370,0.290579,0.717395,-0.459173,1.261713,3.532525,-2.694483,4.800000,0.243544,-0.049950,0.552799,1.101689,0.603254,0.595433,0.616366,0.693773,0.477588,4.639733,-1.664896,-34.915310,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.017172,1.013118,0.500000,0.109204,0.154395,0.200000,0.200000
0.390000,0.207370,0.290579,0.717395,-0.459173,1.261713,3.532525,-2.694483,4.800000,0.249562,-0.044019,0.558944,1.108588,0.600302,0.590578,0.612521,0.685990,0.450450,4.614937,-1.722497,-35.080001,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.018700,1.016051,0.500000,0.101715,0.200000,0.165717,0.200000
0.400000,0.212573,0.305259,0.693791,-0.430280,-0.091947,-0.250010,-2.876744,4.800000,0.255550,-0.038138,0.565049,1.115408,0.597282,0.585616,0.608585,0.678033,-0.904117,0.881361,-2.197914,-34.520249,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000029,1.020222,1.018962,0.500000,0.094406,0.200000,0.132232,0.200000
