t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.000000,0.000118,0.700346,1.357482,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.300000,0.300000,0.800000,0.660000,0.690000,0.690000,0.845000,-0.659408,4.311731,9.884822,-65.845000,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.010000,0.000118,0.700346,1.357482,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.006600,-0.293100,0.306900,0.808450,0.659960,0.689932,0.689948,0.844892,-0.692367,4.277300,9.815876,-66.056133,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.001041,0.999259,0.981048,0.045396,0.150000,0.150000,0.150000,0.027788,0.169235,0.300000,0.300000
0.020000,0.000118,0.700346,1.357482,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.013199,-0.286202,0.313799,0.816897,0.659839,0.689729,0.689792,0.844567,-0.725242,4.243011,9.747044,-66.266995,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.002074,0.998522,0.962012,0.054984,0.150000,0.150000,0.150000,0.041635,0.254781,0.300000,0.300000
0.030000,0.000118,0.700346,1.357482,-1.800000,0.000000,0.000000,-0.000000,-0.000000,0.019796,-0.279306,0.320695,0.825340,0.659638,0.689390,0.689532,0.844026,-0.758028,4.208872,9.678337,-66.477533,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.003099,0.997790,0.942891,0.065503,0.150000,0.150000,0.150000,0.056140,0.300000,0.300000,0.300000
0.040000,0.012272,0.670969,1.349979,-1.755173,2.289318,-3.499216,-1.632449,4.800000,0.026391,-0.272414,0.327589,0.833777,0.659356,0.688915,0.689168,0.843269,1.559364,0.528785,7.902289,-60.767006,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000000,1.004117,0.997063,0.923684,0.076995,0.150000,0.150000,0.150000,0.071301,0.300000,0.300000,0.300000
0.050000,0.047105,0.633092,1.322116,-1.707173,4.386916,-3.975475,-3.730529,4.800000,0.032983,-0.265528,0.334478,0.842205,0.658995,0.688305,0.688700,0.842295,3.798528,-0.170677,5.457149,-59.776733,-1.200000,-0.693216,-1.200000,1.200000,1,0,1,1,1.000001,1.004267,0.995436,0.873761,0.054230,0.150000,0.150000,0.150000,0.040114,0.300000,0.300000,0.300000
0.060000,0.074923,0.591495,1.276369,-1.659173,1.553662,-4.396960,-4.800000,4.800000,0.039571,-0.258649,0.341363,0.850622,0.658553,0.687560,0.688129,0.841106,1.071871,-0.833801,3.861932,-58.785974,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000005,1.004531,0.993748,0.821020,0.009530,0.137012,0.150000,0.150000,0.000000,0.296586,0.300000,0.300000
0.070000,0.074923,0.591495,1.276369,-1.659173,1.553662,-4.396960,-4.800000,4.800000,0.046154,-0.251778,0.348241,0.859026,0.658030,0.686680,0.687453,0.839702,1.039479,-0.867277,3.793827,-58.994675,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000005,1.004459,0.992319,0.800000,0.000000,0.077593,0.150000,0.150000,0.000000,0.279910,0.300000,0.300000
0.080000,0.077612,0.548418,1.228369,-1.611173,-0.701758,-4.230197,-4.800000,4.800000,0.052731,-0.244916,0.355111,0.867415,0.657428,0.685665,0.686675,0.838083,-1.234781,-0.949194,3.245898,-58.002783,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000005,1.004383,0.990900,0.800000,0.000000,0.016369,0.150000,0.150000,0.000000,0.262565,0.300000,0.300000
0.090000,0.060470,0.521094,1.180369,-1.563173,-2.480134,-1.554253,-4.800000,4.800000,0.059302,-0.238065,0.361974,0.875787,0.656746,0.684515,0.685792,0.836249,-3.131043,1.557023,2.698157,-57.010245,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000005,1.004295,0.989717,0.800000,0.013163,0.000000,0.150000,0.150000,0.024696,0.243581,0.300000,0.300000
