t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,tau1,tau2,tau3,tau4
0.000000,0.000400,0.908906,0.610544,-1.615633,0.000741,0.001826,-0.000920,-0.000280,0.000000,0.000000,0.000000,0.000000
0.020000,0.000400,0.908924,0.610534,-1.615721,0.001024,0.001940,-0.001086,-0.000277,0.000000,0.094186,0.000000,0.000000
0.040000,0.000399,0.908943,0.610524,-1.615795,-0.000368,0.001679,-0.001002,-0.013699,0.000000,0.188000,0.000000,0.000000
0.060000,0.000401,0.908970,0.610507,-1.615732,0.000022,0.002403,-0.001446,-0.010709,0.000000,0.281072,0.000000,0.000000
0.080000,0.000403,0.909004,0.610486,-1.615851,0.000077,0.002986,-0.001784,-0.011767,0.000000,0.373035,0.000000,0.000000
0.100000,0.000405,0.909043,0.610462,-1.615967,-0.000873,0.003188,-0.001716,-0.003171,0.000000,0.463525,0.000000,0.000000
0.120000,0.000407,0.909089,0.610435,-1.615973,0.000092,0.004158,-0.002479,-0.015659,0.000000,0.552187,0.000000,0.000000
0.140000,0.000410,0.909141,0.610403,-1.616136,0.001122,0.004903,-0.002781,-0.000944,0.000000,0.638669,0.000000,0.000000
0.160000,0.000411,0.909199,0.610369,-1.616173,0.000108,0.005277,-0.003142,-0.019504,0.000000,0.722631,0.000000,0.000000
0.180000,0.000414,0.909262,0.610331,-1.616225,0.000423,0.006022,-0.003471,-0.023840,0.000000,0.803740,0.000000,0.000000
0.200000,0.000414,0.909262,0.610331,-1.616225,0.000423,0.006022,-0.003471,-0.023840,0.000000,0.881678,0.000000,0.000000
0.220000,0.000415,0.909331,0.610289,-1.616467,0.000128,0.006323,-0.003761,-0.023980,0.000000,0.956136,0.000000,0.000000
0.240000,0.000403,0.909393,0.610251,-1.616539,-0.002096,0.003399,-0.002227,-0.017981,0.000000,1.026821,0.000000,0.000000
0.260000,0.000397,0.909415,0.610237,-1.616538,-0.002237,-0.000081,0.000081,-0.012746,0.000000,1.093453,0.000000,0.000000
0.280000,0.000397,0.909415,0.610237,-1.616538,-0.002237,-0.000081,0.000081,-0.012746,0.000000,1.155770,0.000000,0.000000
0.300000,0.000403,0.909420,0.610234,-1.616516,-0.000830,-0.000738,0.000305,-0.012392,0.000000,1.213525,0.000000,0.000000
0.320000,0.000403,0.909420,0.610234,-1.616516,-0.000830,-0.000738,0.000305,-0.012392,0.000000,1.266492,0.000000,0.000000
0.340000,0.000398,0.909420,0.610236,-1.616633,-0.001590,-0.000390,0.000591,-0.001687,0.000000,1.314460,0.000000,0.000000
